timestamp_s,frame_index,action,detected,confidence,target_cx,target_cy,dx,dy,norm_area,fps
27.679,132,TURN_RIGHT,1,0.4466,439,347,119,107,0.155498,5.36
27.859,133,SEARCH,0,0.0,-1,-1,0,0,0.0,5.57
28.047,134,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
28.231,135,TURN_RIGHT,1,0.5539,401,374,81,134,0.108089,5.43
28.422,136,TURN_RIGHT,1,0.7917,424,380,104,140,0.10784,5.22
28.616,137,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
28.812,138,SEARCH,0,0.0,-1,-1,0,0,0.0,5.12
29.009,139,SEARCH,0,0.0,-1,-1,0,0,0.0,5.08
29.197,140,SEARCH,0,0.0,-1,-1,0,0,0.0,5.3
29.395,141,SEARCH,0,0.0,-1,-1,0,0,0.0,5.04
29.598,142,SEARCH,0,0.0,-1,-1,0,0,0.0,4.93
29.789,143,SEARCH,0,0.0,-1,-1,0,0,0.0,5.25
30.013,144,SEARCH,0,0.0,-1,-1,0,0,0.0,4.47
30.196,145,SEARCH,0,0.0,-1,-1,0,0,0.0,5.46
30.388,146,SEARCH,0,0.0,-1,-1,0,0,0.0,5.2
30.591,147,SEARCH,0,0.0,-1,-1,0,0,0.0,4.92
30.788,148,SEARCH,0,0.0,-1,-1,0,0,0.0,5.07
30.981,149,SEARCH,0,0.0,-1,-1,0,0,0.0,5.18
31.175,150,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
31.364,151,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
31.559,152,TURN_RIGHT,1,0.3598,621,157,301,-83,0.009179,5.11
31.74,153,SEARCH,0,0.0,-1,-1,0,0,0.0,5.54
31.93,154,SEARCH,0,0.0,-1,-1,0,0,0.0,5.26
32.126,155,SEARCH,0,0.0,-1,-1,0,0,0.0,5.1
32.319,156,SEARCH,0,0.0,-1,-1,0,0,0.0,5.2
32.5,157,SEARCH,0,0.0,-1,-1,0,0,0.0,5.51
32.691,158,SEARCH,0,0.0,-1,-1,0,0,0.0,5.25
32.876,159,SEARCH,0,0.0,-1,-1,0,0,0.0,5.39
33.061,160,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
33.253,161,SEARCH,0,0.0,-1,-1,0,0,0.0,5.22
33.443,162,SEARCH,0,0.0,-1,-1,0,0,0.0,5.24
33.636,163,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
33.827,164,SEARCH,0,0.0,-1,-1,0,0,0.0,5.23
34.018,165,SEARCH,0,0.0,-1,-1,0,0,0.0,5.24
34.212,166,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
34.458,167,SEARCH,0,0.0,-1,-1,0,0,0.0,4.05
34.683,168,SEARCH,0,0.0,-1,-1,0,0,0.0,4.45
34.876,169,SEARCH,0,0.0,-1,-1,0,0,0.0,5.2
35.062,170,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
35.247,171,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
35.439,172,SEARCH,0,0.0,-1,-1,0,0,0.0,5.22
35.628,173,SEARCH,0,0.0,-1,-1,0,0,0.0,5.27
